raw_name,proposed_name,cardmarket_product_id,confidence,status,observed_price
PokémonFull View Deck Box - Charmander,,,0.95,null_mapped,3.50
PokémonGem Pack Vol 1 Booster Box (Simplified Chinese),,,0.90,null_mapped,70.90
PokémonGem Pack Vol 2 Booster Box (Simplified Chinese),CBB2C: Gem Pack Vol. 2 Booster Box,821700,0.95,mapped,76.90
PokémonGem Pack Vol 3 Booster Box (Simplified Chinese),CBB3C: Gem Pack Vol. 3 Booster Box,845908,0.95,mapped,99.90
PokémonGem Pack Vol 4 Booster Box (Simplified Chinese),CBB4C: Gem Pack Vol. 4 Booster Box,866295,0.95,mapped,45.90
PokémonGem Pack Vol 5 Booster Box (Simplified Chinese),CBB5C: Gem Pack Vol. 5 Booster Box,880331,0.95,mapped,59.90
PokémonGengar 9P PRO Binder Zipper Elite,,,0.95,null_mapped,39.90
PokémonGrafaiai ex Box,Grafaiai ex Box,752019,0.95,mapped,34.90
PokémonGrand Crystal Binder Gift Box - Sylveon,CSV9.5C: Terastal Gathering Sylveon Gift Box,889741,0.85,mapped,153.90
PokémonGrand Crystal Binder Gift Box - Umbreon (Simplified Chinese),CSV9.5C: Terastal Gathering Umbreon Gift Box,889742,0.85,mapped,162.90
PokémonGrand Crystal Mystery Box (Simplified Chinese),,,0.85,null_mapped,34.90
PokémonGreninja - 4-Pocket Portfolio,,,0.95,null_mapped,7.90
PokémonHeat Wave Arena SV9a Booster Box (Japanilainen),Heat Wave Arena Booster Box,810652,0.95,mapped,109.90
PokémonKoko näkymä laattalaatikko - Ceruledge,,,0.95,null_mapped,3.50
PokémonLumiose City Mini Tin,,878509,0.50,undecided,16.90
PokémonME02 Phantasmal Flames 9-Pocket Portfolio,,,0.95,null_mapped,18.90
PokémonME02 Phantasmal Flames Blister (1-pack),,846737,0.50,undecided,7.99
PokémonME02 Phantasmal Flames Blister (3-pack),,846740,0.50,undecided,22.90
PokémonME02 Phantasmal Flames Booster,Phantasmal Flames Booster,846729,0.95,mapped,7.90
PokémonME02 Phantasmal Flames Checklane,,846737,0.50,undecided,7.99
PokémonME02 Phantasmal Flames Elite Trainer Box,Phantasmal Flames Elite Trainer Box,846744,0.95,mapped,74.90
PokémonME02 Phantasmal Flames Premium Checklane,,846735,0.50,undecided,10.99
PokémonME03 Perfect Order - Blister (1-pakkaus),,865399,0.50,undecided,7.39
PokémonME03 Perfect Order - Booster,Perfect Order Booster,865410,0.95,mapped,7.39
PokémonME03 Perfect Order - Booster Bundle (6-pack),Perfect Order Booster Bundle,865404,0.95,mapped,46.90
PokémonME03 Perfect Order Elite Trainer Box,Perfect Order Elite Trainer Box,865406,0.95,mapped,78.90
PokémonME04 Chaos Rising Blister (3-Pack),,877290,0.50,undecided,20.90
PokémonME04 Chaos Rising Blister Booster,,877285,0.50,undecided,6.90
PokémonME04 Chaos Rising Booster,Chaos Rising Booster,877296,0.95,mapped,6.90
PokémonME04 Chaos Rising Booster Bundle (6-Pack),Chaos Rising Booster Bundle,877284,0.95,mapped,49.90
PokémonME04 Chaos Rising Checklane Booster,,877285,0.50,undecided,7.90
PokémonME04 Chaos Rising Elite Trainer Box,Chaos Rising Elite Trainer Box,877294,0.95,mapped,82.90
PokémonME04 Chaos Rising Premium Checklane Blister,,877289,0.50,undecided,9.90
PokémonME05: Pitch Black - 3-Pack Blister,,885533,0.50,undecided,23.90
PokémonME05: Pitch Black - Booster,Pitch Black Booster,885547,0.95,mapped,6.29
PokémonME05: Pitch Black - Booster-paketti,Pitch Black Booster Bundle,885539,0.95,mapped,63.90
PokémonME05: Pitch Black - Checklane,,885534,0.50,undecided,7.50
PokémonME05: Pitch Black - Elite Trainer Box,Pitch Black Elite Trainer Box,885542,0.95,mapped,89.90
PokémonME05: Pitch Black - Premium-pikakassa-alue,,885535,0.50,undecided,7.99
PokémonME2.5 Ascended Heroes - Deluxe Pin Collection,Ascended Heroes: First Partners Deluxe Pin Collection,864106,0.95,mapped,47.90
PokémonME2.5 Ascended Heroes - Premium Poster Collection,,860576,0.50,undecided,83.90
PokémonME2.5 Ascended Heroes Elite Trainer Box,Ascended Heroes Elite Trainer Box,860574,0.95,mapped,94.90
PokémonME2.5 Ascended Heroes Enhanced 2-Pack,,864105,0.50,undecided,16.90
PokémonME2.5 Ascended Heroes MEGA ex Box,,864107,0.50,undecided,44.90
PokémonME2.5 Ascended Heroes Mini Tin,,860568,0.50,undecided,17.90
PokémonME2.5 Ascended Heroes Tech Sticker Collection,,860566,0.50,undecided,27.90
PokémonMega Brave M1L Booster Box (Japanese),Mega Brave Booster Box,831326,0.95,mapped,107.90
PokémonMega Brave Pokémon Center Set (Japanilainen),Mega Brave Pokémon Center Set,831312,0.95,mapped,216.90
PokémonMega Charizard Ex Ultra Premium -kokoelma,Mega Charizard X ex Ultra-Premium Collection,846718,0.90,mapped,189.99
PokémonMega Charizard X/Y Pelimatto – L,,,0.95,null_mapped,109.90
PokémonMega Charizard X/Y Pelimatto – M,,,0.95,null_mapped,27.90
PokémonMega Charizard X/Y Pelimatto – XL,,,0.95,null_mapped,134.90
PokémonMega Dream ex Booster Box  (japanilainen),MEGA Dream ex Booster Box,858380,0.95,mapped,119.90
PokémonMega Evolution -hanskaton Booster,Mega Evolution Booster,834829,0.85,mapped,6.30
PokémonMega Evolution Blister 3-Pack,,834819,0.50,undecided,21.90
PokémonMega Evolution Booster,Mega Evolution Booster,834829,0.90,mapped,6.90
PokémonMega Evolution Checklane Booster,,834817,0.50,undecided,7.90
PokémonMega Evolution Elite Trainer Box,,834831,0.50,undecided,78.90
PokémonMega Evolution Premium Checklane,,834815,0.50,undecided,10.90
PokémonMega Greninja ex Premium Collection,Mega Greninja ex Premium Collection,884751,0.95,mapped,67.90
PokémonMega Heroes Mini Tin,,834808,0.50,undecided,19.90
PokémonMega Inferno X -Booster-laukkur (Japani),Inferno X Booster Box,845910,0.85,mapped,166.90
PokémonMega Kangaskhan ex Box,Mega Kangaskhan ex Box,848361,0.95,mapped,31.90
PokémonMega Latias Ex Box,Mega Latias ex Box,838385,0.95,mapped,36.90
PokémonMega Lucario ex Figure Collection,Mega Lucario ex Figure Collection,844445,0.95,mapped,45.90
PokémonMega Symphonia M1S Booster Box (Japanese),Mega Symphonia Booster Box,831328,0.95,mapped,98.90
PokémonMega Symphonia Pokémon Center Set (Japanilainen),,,0.85,null_mapped,188.90
PokémonMega Venusaur Ex Premium Collection,Mega Venusaur ex Premium Collection,848362,0.95,mapped,63.90
PokémonMega Zygarde ex Premium Collection,Mega Zygarde ex Premium Collection,873312,0.95,mapped,69.90
PokémonMini Album w/ booster Q1 26,,,0.90,null_mapped,8.90
PokémonMunikis Zero Booster Box (Japanese),Nihil Zero Booster Box,864283,0.85,mapped,99.90
PokémonNinja Spinner Booster Box (Japanese),Ninja Spinner Booster Box,873182,0.95,mapped,98.90
PokémonPalafin ex Box,Palafin ex Box,764569,0.95,mapped,31.79
PokémonPikachu 12P PRO-Binder Zip Elite,,,0.95,null_mapped,45.90
PokémonPikachu 9 Pocket Binder,,,0.95,null_mapped,15.90
PokémonPikachu 9P PRO-Binder Zip Elite,,,0.95,null_mapped,39.90
PokémonPikachu Deck Box Alcove Tower,,,0.95,null_mapped,39.90
PokémonPikachu Special Box Pokémon Center - Fukuoka,Pokémon Center Fukuoka Special Box,830072,0.95,mapped,208.90
PokémonPikachu Special Box Pokémon Center - Hiroshima,Pokémon Center Hiroshima Special Box,830071,0.95,mapped,218.90
PokémonPikachu Special Box Pokémon Center - Tohoku,Pokémon Center Tohoku Special Box,830070,0.95,mapped,172.90
PokémonPlaymat Charmander,,,0.95,null_mapped,27.90
PokémonPlush Toy Card Display Gift Box,,,0.85,null_mapped,34.90
PokémonPokemon Day 2026 Collection Box 3-Pack,Pokémon Day 2026 Collection,859327,0.85,mapped,27.90
PokémonPortfolio 4-P Mega Charizard X/Y,,,0.95,null_mapped,11.90
PokémonPortfolio 9-P Mega Charizard X/Y,,,0.95,null_mapped,14.90
PokémonPortfolio 9-P Poke ME01,,,0.95,null_mapped,19.90
PokémonPremium Green Snap 4-pocket Binder,,,0.95,null_mapped,29.90
PokémonPremium Red Snap Binder,,,0.95,null_mapped,27.90
PokémonPremium Snap Binder Poke Blue,,,0.95,null_mapped,27.90
PokémonPro Binder Charmander 9 tasku,,,0.95,null_mapped,29.90
PokémonPro-Binder 9-P Mega Charizard X/Y,,,0.95,null_mapped,27.90
PokémonPsyduck AR 199/193 m2a Mega Dream ex – Pokémon-kortti,,,0.95,null_mapped,17.50
PokémonRival Battle Deck Marnie,Marnie Rival Battle Deck,813964,0.95,mapped,21.90
PokémonRival Battle Deck Steven,Steven Rival Battle Deck,813965,0.95,mapped,21.90
PokémonSV1 Scarlet & Violet 4-Pocket Portfolio,,,0.95,null_mapped,9.90
PokémonSV11B Black Bolt Deluxe Box (Japanilainen),Black Bolt JP Deluxe Booster Box,828353,0.95,mapped,136.90
PokémonSV11W White Flare Deluxe Box (Japanilainen),White Flare JP Deluxe Booster Box,828354,0.95,mapped,127.90
PokémonSV2a 151 Booster Box (Japanilainen),Pokémon Card 151 Booster Box,718514,0.90,mapped,245.90
PokémonSV9 Battle Partners Booster Box (Japanilainen),Battle Partners Booster Box,804827,0.95,mapped,91.90
PokémonScarlet & Violet 10.5: Black Bolt & White Flare Mini Tin (1 pcs),,824104,0.50,undecided,16.29
